x_mm,z_mm,temperature_c
-50.0,-50.0,26.001
-47.436,-50.0,26.001
-44.872,-50.0,26.001
-42.308,-50.0,26.001
-39.744,-50.0,26.001
-37.179,-50.0,26.001
-34.615,-50.0,26.001
-32.051,-50.0,26.001
-29.487,-50.0,26.001
-26.923,-50.0,26.001
-24.359,-50.0,26.001
-21.795,-50.0,26.001
-19.231,-50.0,26.001
-16.667,-50.0,26.0
-14.103,-50.0,26.0
-11.538,-50.0,26.0
-8.974,-50.0,26.0
-6.41,-50.0,26.0
-3.846,-50.0,26.0
-1.282,-50.0,26.0
1.282,-50.0,26.0
3.846,-50.0,26.0
6.41,-50.0,26.0
8.974,-50.0,26.0
11.538,-50.0,26.0
14.103,-50.0,26.0
16.667,-50.0,26.0
19.231,-50.0,26.0
21.795,-50.0,26.0
24.359,-50.0,26.0
26.923,-50.0,26.0
29.487,-50.0,26.0
32.051,-50.0,26.0
34.615,-50.0,26.0
37.179,-50.0,26.0
39.744,-50.0,26.0
42.308,-50.0,26.0
44.872,-50.0,26.0
47.436,-50.0,26.0
50.0,-50.0,26.0
-50.0,-47.436,26.001
-47.436,-47.436,26.001
-44.872,-47.436,26.001
-42.308,-47.436,26.001
-39.744,-47.436,26.001
-37.179,-47.436,26.001
-34.615,-47.436,26.001
-32.051,-47.436,26.001
-29.487,-47.436,26.001
-26.923,-47.436,26.001
-24.359,-47.436,26.001
-21.795,-47.436,26.001
-19.231,-47.436,26.001
-16.667,-47.436,26.001
-14.103,-47.436,26.001
-11.538,-47.436,26.001
-8.974,-47.436,26.0
-6.41,-47.436,26.0
-3.846,-47.436,26.0
-1.282,-47.436,26.0
1.282,-47.436,26.0
3.846,-47.436,26.0
6.41,-47.436,26.0
8.974,-47.436,26.0
11.538,-47.436,26.0
14.103,-47.436,26.0
16.667,-47.436,26.0
19.231,-47.436,26.0
21.795,-47.436,26.0
24.359,-47.436,26.0
26.923,-47.436,26.0
29.487,-47.436,26.0
32.051,-47.436,26.0
34.615,-47.436,26.0
37.179,-47.436,26.0
39.744,-47.436,26.0
42.308,-47.436,26.0
44.872,-47.436,26.0
47.436,-47.436,26.0
50.0,-47.436,26.0
-50.0,-44.872,26.002
-47.436,-44.872,26.002
-44.872,-44.872,26.002
-42.308,-44.872,26.002
-39.744,-44.872,26.002
-37.179,-44.872,26.002
-34.615,-44.872,26.002
-32.051,-44.872,26.002
-29.487,-44.872,26.002
