x_mm,z_mm,temperature_c
-50,-50,26
-47.436,-50,26
-44.872,-50,26
-42.308,-50,26
-39.744,-50,26
-37.179,-50,26
-34.615,-50,26
-32.051,-50,26
-29.487,-50,26
-26.923,-50,26
-24.359,-50,26
-21.795,-50,26
-19.231,-50,26
-16.667,-50,26
-14.103,-50,26
-11.538,-50,26
-8.974,-50,26
-6.41,-50,26
-3.846,-50,26
-1.282,-50,26
1.282,-50,26
3.846,-50,26
6.41,-50,26
8.974,-50,26
11.538,-50,26
14.103,-50,26
16.667,-50,26
19.231,-50,26
21.795,-50,26
24.359,-50,26
26.923,-50,26
29.487,-50,26
32.051,-50,26
34.615,-50,26
37.179,-50,26
39.744,-50,26
42.308,-50,26
44.872,-50,26
47.436,-50,26
50,-50,26
-50,-47.436,26
-47.436,-47.436,26
-44.872,-47.436,26
-42.308,-47.436,26
-39.744,-47.436,26
-37.179,-47.436,26
-34.615,-47.436,26
-32.051,-47.436,26
-29.487,-47.436,26
-26.923,-47.436,26
-24.359,-47.436,26
-21.795,-47.436,26
-19.231,-47.436,26
-16.667,-47.436,26
-14.103,-47.436,26
-11.538,-47.436,26
-8.974,-47.436,26
-6.41,-47.436,26
-3.846,-47.436,26
-1.282,-47.436,26
1.282,-47.436,26
3.846,-47.436,26
6.41,-47.436,26
8.974,-47.436,26
11.538,-47.436,26
14.103,-47.436,26
16.667,-47.436,26
19.231,-47.436,26
21.795,-47.436,26
24.359,-47.436,26
26.923,-47.436,26
29.487,-47.436,26
32.051,-47.436,26
34.615,-47.436,26
37.179,-47.436,26
39.744,-47.436,26
42.308,-47.436,26
44.872,-47.436,26
47.436,-47.436,26
50,-47.436,26
-50,-44.872,26
-47.436,-44.872,26
-44.872,-44.872,26
-42.308,-44.872,26
-39.744,-44.872,26
-37.179,-44.872,26
-34.615,-44.872,26
-32.051,-44.872,26
-29.487,-44.872,26
-26.923,-44.872,26
-24.359,-44.872,26
-21.795,-44.872,26
-19.231,-44.872,26
-16.667,-44.872,26
-14.103,-44.872,26
-11.538,-44.872,26
-8.974,-44.872,26
-6.41,-44.872,26
-3.846,-44.872,26
-1.282,-44.872,26
1.282,-44.872,26
3.846,-44.872,26
6.41,-44.872,26
8.974,-44.872,26
11.538,-44.872,26
14.103,-44.872,26
16.667,-44.872,26
19.231,-44.872,26
21.795,-44.872,26
24.359,-44.872,26
26.923,-44.872,26
29.487,-44.872,26
32.051,-44.872,26
34.615,-44.872,26
37.179,-44.872,26
39.744,-44.872,26
42.308,-44.872,26
44.872,-44.872,26
47.436,-44.872,26
50,-44.872,26
-50,-42.308,26
-47.436,-42.308,26
-44.872,-42.308,26
-42.308,-42.308,26
-39.744,-42.308,26
-37.179,-42.308,26
-34.615,-42.308,26
-32.051,-42.308,26
-29.487,-42.308,26
-26.923,-42.308,26
-24.359,-42.308,26
-21.795,-42.308,26
-19.231,-42.308,26
-16.667,-42.308,26
-14.103,-42.308,26
-11.538,-42.308,26
-8.974,-42.308,26
-6.41,-42.308,26
-3.846,-42.308,26
