x_mm,z_mm,temperature_c
-5,12,120
-50,50,26.0018
-50,-50,26.0018
50,-50,26.0004
50,50,26.0004
-7.49494,11.7378,120
-9.88084,10.9625,120
-12.0534,9.7082,120
-13.9177,8.02957,120
-15.3923,6,120
-16.4127,3.7082,120
-16.9343,1.25434,120
-16.9343,-1.25434,120
-16.4127,-3.7082,120
-15.3923,-6,120
-13.9177,-8.02957,120
-12.0534,-9.7082,120
-9.88084,-10.9625,120
-7.49494,-11.7378,120
-5,-12,120
-2.50506,-11.7378,120
  -119.160E-03,-10.9625,120
2.05342,-9.7082,120
3.91774,-8.02957,120
5.3923,-6,120
6.41268,-3.7082,120
6.93426,-1.25434,120
6.93426,1.25434,120
6.41268,3.7082,120
5.3923,6,120
3.91774,8.02957,120
2.05342,9.7082,120
  -119.160E-03,10.9625,120
-2.50506,11.7378,120
-50,47.5,26.0019
-50,45,26.0023
-50,42.5,26.003
-50,40,26.0041
-50,37.5,26.0056
-50,35,26.0077
-50,32.5,26.0104
-50,30,26.014
-50,27.5,26.0185
-50,25,26.0238
-50,22.5,26.0299
-50,20,26.0377
-50,17.5,26.0465
-50,15,26.0556
-50,12.5,26.0646
-50,10,26.0728
-50,7.5,26.08
-50,5,26.0863
-50,2.5,26.091
-50,0,26.0928
-50,-2.5,26.0914
-50,-5,26.087
-50,-7.5,26.0807
-50,-10,26.0734
-50,-12.5,26.065
-50,-15,26.0556
-50,-17.5,26.0461
-50,-20,26.0375
-50,-22.5,26.0301
-50,-25,26.0237
-50,-27.5,26.0182
-50,-30,26.0137
-50,-32.5,26.0102
-50,-35,26.0075
-50,-37.5,26.0055
-50,-40,26.004
-50,-42.5,26.003
-50,-45,26.0023
-50,-47.5,26.0019
-47.5,-50,26.0019
-45,-50,26.0022
-42.5,-50,26.0027
-40,-50,26.0034
-37.5,-50,26.0045
-35,-50,26.0058
-32.5,-50,26.0075
-30,-50,26.0095
-27.5,-50,26.0119
-25,-50,26.0146
-22.5,-50,26.0173
-20,-50,26.0202
-17.5,-50,26.0228
-15,-50,26.026
-12.5,-50,26.0286
-10,-50,26.0302
-7.5,-50,26.0312
-5,-50,26.0317
-2.5,-50,26.0316
0,-50,26.0306
2.5,-50,26.0287
5,-50,26.0261
7.5,-50,26.0233
10,-50,26.0203
12.5,-50,26.0174
15,-50,26.0145
17.5,-50,26.0117
20,-50,26.0092
22.5,-50,26.0073
25,-50,26.0057
27.5,-50,26.0043
30,-50,26.0032
32.5,-50,26.0024
35,-50,26.0017
37.5,-50,26.0013
40,-50,26.0009
42.5,-50,26.0007
45,-50,26.0005
47.5,-50,26.0004
50,-47.5,26.0004
50,-45,26.0005
50,-42.5,26.0006
50,-40,26.0008
50,-37.5,26.0011
50,-35,26.0014
50,-32.5,26.0018
50,-30,26.0023
50,-27.5,26.003
50,-25,26.0037
50,-22.5,26.0045
50,-20,26.0054
50,-17.5,26.0063
50,-15,26.0074
50,-12.5,26.0085
50,-10,26.0093
50,-7.5,26.01
50,-5,26.0107
50,-2.5,26.0112
50,0,26.0114
50,2.5,26.0112
50,5,26.0108
50,7.5,26.0101
50,10,26.0093
50,12.5,26.0084
50,15,26.0074
50,17.5,26.0063
50,20,26.0053
50,22.5,26.0044
50,25,26.0036
50,27.5,26.0029
50,30,26.0023
50,32.5,26.0018
50,35,26.0014
50,37.5,26.001
50,40,26.0008
50,42.5,26.0006
50,45,26.0005
50,47.5,26.0004
47.5,50,26.0004
45,50,26.0005
42.5,50,26.0007
40,50,26.0009
37.5,50,26.0013
35,50,26.0017
32.5,50,26.0024
30,50,26.0032
27.5,50,26.0043
25,50,26.0057
22.5,50,26.0073
20,50,26.0094
17.5,50,26.0117
15,50,26.0143
12.5,50,26.0172
10,50,26.02
7.5,50,26.0229
5,50,26.0258
2.5,50,26.0285
0,50,26.0307
-2.5,50,26.032
-5,50,26.0324
-7.5,50,26.0319
-10,50,26.0308
-12.5,50,26.029
-15,50,26.0265
-17.5,50,26.0235
-20,50,26.0203
-22.5,50,26.0173
-25,50,26.0144
-27.5,50,26.0118
-30,50,26.0094
-32.5,50,26.0074
-35,50,26.0058
-37.5,50,26.0045
-40,50,26.0035
-42.5,50,26.0027
-45,50,26.0022
-47.5,50,26.0019
   869.961E-03,7.94839,120
-11.3632,7.68486,120
-14.4593,1.18576,120
-13.4501,-4.79382,120
-3.47415,-7.08933,120
4.79167,-3.11813,120
4.63314,   823.376E-03,120
3.41347,4.8551,120
-9.35969,8.34597,120
-12.9309,7.10904,120
-13.8978,3.31962,120
-14.6673,  -934.857E-03,120
-14.3369,-2.96049,120
-8.53466,-8.34695,120
-6.50386,-8.98719,120
-1.4514,-7.66005,120
3.01724,-4.33513,120
4.76105,-1.30827,120
4.19127,2.91293,120
2.32663,6.58661,120
  -940.976E-03,8.70099,120
-7.24316,8.78709,120
-5.43855,-6.45674,120
-12.8359,  -778.944E-03,120
-2.42989,-5.04094,120
-1.26247,6.62182,120
-9.21739,5.90886,120
2.55507,   337.277E-03,120
   510.188E-03,-3.84481,120
1.53833,3.94952,120
   120.487E-03,6.66895,120
-10.7117,-4.59336,120
1.76787,-6.60994,120
-12.1162,-6.29714,120
-13.377,5.42046,120
-2.97721,9.01498,120
-10.4321,-7.46526,120
-11.2688,2.98251,120
   827.384E-03,-1.87721,120
  -878.917E-03,4.90044,120
-4.27666,-4.15,120
