sample_index,acc_ch1,acc_ch2,acc_ch3
1,-0.149596,-0.209434,-0.209434
2,-0.179515,-0.209434,-0.209434
3,-0.179515,-0.239354,-0.239354
4,-0.209434,-0.239354,-0.239354
5,-0.209434,-0.239354,-0.239354
6,-0.209434,-0.239354,-0.239354
7,-0.209434,-0.239354,-0.239354
8,-0.209434,-0.239354,-0.239354
9,-0.209434,-0.239354,-0.239354
10,-0.209434,-0.239354,-0.239354
11,-0.209434,-0.239354,-0.239354
12,-0.179515,-0.239354,-0.239354
13,-0.209434,-0.239354,-0.239354
14,-0.209434,-0.239354,-0.239354
15,-0.209434,-0.269273,-0.239354
16,-0.239354,-0.299192,-0.269273
17,-0.239354,-0.269273,-0.269273
18,-0.209434,-0.269273,-0.269273
19,-0.209434,-0.239354,-0.239354
20,-0.179515,-0.239354,-0.239354
21,-0.179515,-0.239354,-0.209434
22,-0.179515,-0.239354,-0.209434
23,-0.179515,-0.209434,-0.209434
24,-0.179515,-0.209434,-0.239354
25,-0.179515,-0.239354,-0.209434
26,-0.179515,-0.239354,-0.209434
27,-0.179515,-0.239354,-0.239354
28,-0.179515,-0.239354,-0.239354
29,-0.179515,-0.239354,-0.239354
30,-0.179515,-0.239354,-0.239354
31,-0.179515,-0.209434,-0.209434
32,-0.149596,-0.209434,-0.179515
33,-0.149596,-0.209434,-0.209434
34,-0.179515,-0.209434,-0.209434
35,-0.179515,-0.239354,-0.209434
36,-0.209434,-0.239354,-0.239354
37,-0.209434,-0.269273,-0.239354
38,-0.209434,-0.269273,-0.239354
39,-0.209434,-0.239354,-0.239354
40,-0.209434,-0.239354,-0.239354
41,-0.209434,-0.269273,-0.239354
42,-0.209434,-0.239354,-0.239354
43,-0.209434,-0.239354,-0.239354
44,-0.209434,-0.239354,-0.239354
45,-0.209434,-0.239354,-0.239354
46,-0.209434,-0.239354,-0.239354
47,-0.209434,-0.269273,-0.269273
48,-0.239354,-0.269273,-0.269273
49,-0.239354,-0.269273,-0.269273
50,-0.209434,-0.269273,-0.269273
51,-0.209434,-0.269273,-0.239354
52,-0.179515,-0.239354,-0.239354
53,-0.179515,-0.239354,-0.209434
54,-0.179515,-0.239354,-0.209434
55,-0.179515,-0.209434,-0.209434
56,-0.179515,-0.239354,-0.209434
57,-0.179515,-0.239354,-0.209434
58,-0.179515,-0.209434,-0.239354
59,-0.179515,-0.239354,-0.239354
60,-0.179515,-0.239354,-0.239354
61,-0.179515,-0.239354,-0.239354
62,-0.179515,-0.239354,-0.239354
63,-0.179515,-0.209434,-0.209434
64,-0.149596,-0.179515,-0.179515
65,-0.149596,-0.209434,-0.209434
66,-0.179515,-0.209434,-0.209434
67,-0.179515,-0.239354,-0.239354
68,-0.209434,-0.239354,-0.239354
69,-0.209434,-0.269273,-0.239354
70,-0.209434,-0.239354,-0.239354
71,-0.209434,-0.239354,-0.239354
72,-0.209434,-0.239354,-0.239354
73,-0.209434,-0.269273,-0.269273
74,-0.209434,-0.239354,-0.239354
75,-0.209434,-0.239354,-0.239354
76,-0.209434,-0.239354,-0.239354
77,-0.209434,-0.239354,-0.239354
78,-0.179515,-0.239354,-0.239354
79,-0.209434,-0.269273,-0.269273
80,-0.239354,-0.269273,-0.269273
81,-0.239354,-0.269273,-0.269273
82,-0.209434,-0.269273,-0.269273
83,-0.209434,-0.239354,-0.239354
84,-0.179515,-0.239354,-0.239354
85,-0.179515,-0.239354,-0.209434
86,-0.179515,-0.239354,-0.209434
87,-0.179515,-0.239354,-0.209434
88,-0.179515,-0.239354,-0.209434
89,-0.179515,-0.209434,-0.209434
90,-0.179515,-0.239354,-0.239354
91,-0.179515,-0.239354,-0.239354
92,-0.179515,-0.239354,-0.239354
93,-0.179515,-0.239354,-0.239354
94,-0.179515,-0.239354,-0.239354
95,-0.179515,-0.209434,-0.209434
96,-0.149596,-0.209434,-0.179515
97,-0.149596,-0.209434,-0.209434
98,-0.179515,-0.209434,-0.209434
99,-0.179515,-0.239354,-0.239354
100,-0.209434,-0.239354,-0.239354
101,-0.209434,-0.269273,-0.239354
102,-0.209434,-0.269273,-0.239354
103,-0.209434,-0.239354,-0.239354
104,-0.209434,-0.239354,-0.239354
105,-0.209434,-0.269273,-0.269273
106,-0.209434,-0.269273,-0.239354
107,-0.209434,-0.239354,-0.239354
108,-0.209434,-0.239354,-0.239354
109,-0.209434,-0.239354,-0.239354
110,-0.209434,-0.239354,-0.239354
111,-0.209434,-0.269273,-0.269273
112,-0.239354,-0.269273,-0.269273
113,-0.239354,-0.269273,-0.269273
114,-0.209434,-0.269273,-0.269273
115,-0.209434,-0.239354,-0.239354
116,-0.179515,-0.239354,-0.239354
117,-0.179515,-0.239354,-0.209434
118,-0.179515,-0.209434,-0.209434
119,-0.179515,-0.239354,-0.209434
120,-0.179515,-0.239354,-0.209434
121,-0.179515,-0.239354,-0.209434
122,-0.179515,-0.239354,-0.209434
123,-0.179515,-0.239354,-0.239354
124,-0.179515,-0.239354,-0.239354
125,-0.179515,-0.239354,-0.239354
126,-0.179515,-0.239354,-0.239354
127,-0.179515,-0.209434,-0.209434
128,-0.149596,-0.209434,-0.179515
129,-0.149596,-0.209434,-0.209434
130,-0.179515,-0.209434,-0.209434
131,-0.179515,-0.239354,-0.239354
132,-0.209434,-0.239354,-0.239354
133,-0.209434,-0.239354,-0.239354
134,-0.209434,-0.239354,-0.239354
135,-0.209434,-0.239354,-0.239354
136,-0.209434,-0.239354,-0.239354
137,-0.209434,-0.269273,-0.239354
138,-0.209434,-0.269273,-0.239354
139,-0.209434,-0.239354,-0.239354
140,-0.209434,-0.239354,-0.239354
141,-0.209434,-0.239354,-0.239354
142,-0.209434,-0.239354,-0.239354
143,-0.209434,-0.269273,-0.269273
144,-0.239354,-0.299192,-0.269273
145,-0.239354,-0.269273,-0.269273
146,-0.209434,-0.269273,-0.269273
147,-0.209434,-0.239354,-0.239354
148,-0.179515,-0.239354,-0.239354
149,-0.179515,-0.239354,-0.239354
150,-0.179515,-0.239354,-0.209434
151,-0.179515,-0.239354,-0.209434
152,-0.179515,-0.239354,-0.239354
153,-0.179515,-0.239354,-0.239354
154,-0.179515,-0.239354,-0.239354
155,-0.179515,-0.239354,-0.239354
156,-0.179515,-0.239354,-0.239354
157,-0.179515,-0.239354,-0.239354
158,-0.179515,-0.239354,-0.239354
159,-0.179515,-0.209434,-0.209434
160,-0.149596,-0.179515,-0.209434
161,-0.149596,-0.209434,-0.209434
162,-0.179515,-0.209434,-0.209434
163,-0.179515,-0.239354,-0.209434
164,-0.209434,-0.269273,-0.239354
165,-0.209434,-0.269273,-0.239354
166,-0.209434,-0.269273,-0.239354
167,-0.209434,-0.239354,-0.239354
168,-0.209434,-0.239354,-0.239354
169,-0.209434,-0.269273,-0.239354
170,-0.209434,-0.239354,-0.269273
171,-0.209434,-0.239354,-0.239354
172,-0.209434,-0.239354,-0.239354
173,-0.209434,-0.239354,-0.239354
174,-0.209434,-0.239354,-0.239354
175,-0.209434,-0.269273,-0.269273
176,-0.239354,-0.269273,-0.269273
177,-0.239354,-0.269273,-0.269273
178,-0.209434,-0.269273,-0.269273
179,-0.209434,-0.239354,-0.239354
180,-0.179515,-0.239354,-0.239354
181,-0.179515,-0.239354,-0.239354
182,-0.179515,-0.239354,-0.209434
183,-0.179515,-0.239354,-0.209434
184,-0.179515,-0.239354,-0.209434
185,-0.179515,-0.209434,-0.209434
186,-0.179515,-0.239354,-0.239354
187,-0.179515,-0.239354,-0.239354
188,-0.179515,-0.239354,-0.239354
189,-0.179515,-0.239354,-0.239354
190,-0.179515,-0.239354,-0.239354
191,-0.179515,-0.209434,-0.209434
192,-0.149596,-0.179515,-0.179515
193,-0.149596,-0.209434,-0.209434
194,-0.179515,-0.209434,-0.209434
195,-0.179515,-0.239354,-0.239354
196,-0.209434,-0.239354,-0.239354
197,-0.209434,-0.239354,-0.239354
198,-0.209434,-0.239354,-0.239354
199,-0.209434,-0.239354,-0.239354
200,-0.209434,-0.239354,-0.239354
201,-0.209434,-0.269273,-0.269273
202,-0.209434,-0.239354,-0.239354
