sample_index,acc_ch1,acc_ch2,acc_ch3
1,-0.209434,-0.239354,-0.239354
2,-0.209434,-0.239354,-0.239354
3,-0.209434,-0.239354,-0.239354
4,-0.209434,-0.239354,-0.239354
5,-0.239354,-0.269273,-0.269273
6,-0.239354,-0.299192,-0.299192
7,-0.239354,-0.269273,-0.269273
8,-0.239354,-0.269273,-0.269273
9,-0.209434,-0.239354,-0.239354
10,-0.179515,-0.209434,-0.209434
11,-0.179515,-0.209434,-0.209434
12,-0.179515,-0.209434,-0.209434
13,-0.179515,-0.209434,-0.209434
14,-0.179515,-0.209434,-0.209434
15,-0.179515,-0.239354,-0.209434
16,-0.179515,-0.239354,-0.209434
17,-0.179515,-0.239354,-0.239354
18,-0.179515,-0.239354,-0.239354
19,-0.179515,-0.239354,-0.239354
20,-0.179515,-0.239354,-0.209434
21,-0.149596,-0.209434,-0.179515
22,-0.149596,-0.179515,-0.179515
23,-0.149596,-0.209434,-0.209434
24,-0.179515,-0.209434,-0.209434
25,-0.179515,-0.239354,-0.239354
26,-0.209434,-0.269273,-0.239354
27,-0.209434,-0.269273,-0.239354
28,-0.209434,-0.269273,-0.239354
29,-0.209434,-0.269273,-0.239354
30,-0.209434,-0.269273,-0.239354
31,-0.209434,-0.269273,-0.269273
32,-0.209434,-0.239354,-0.239354
33,-0.209434,-0.239354,-0.239354
34,-0.209434,-0.239354,-0.239354
35,-0.209434,-0.239354,-0.239354
36,-0.209434,-0.239354,-0.239354
37,-0.239354,-0.269273,-0.269273
38,-0.239354,-0.299192,-0.299192
39,-0.239354,-0.299192,-0.269273
40,-0.239354,-0.269273,-0.269273
41,-0.209434,-0.239354,-0.239354
42,-0.179515,-0.239354,-0.209434
43,-0.179515,-0.209434,-0.209434
44,-0.179515,-0.209434,-0.209434
45,-0.179515,-0.209434,-0.209434
46,-0.179515,-0.209434,-0.209434
47,-0.179515,-0.209434,-0.209434
48,-0.179515,-0.239354,-0.209434
49,-0.179515,-0.239354,-0.239354
50,-0.179515,-0.239354,-0.239354
51,-0.179515,-0.239354,-0.239354
52,-0.179515,-0.239354,-0.239354
53,-0.149596,-0.209434,-0.179515
54,-0.149596,-0.179515,-0.179515
55,-0.149596,-0.209434,-0.179515
56,-0.179515,-0.209434,-0.209434
57,-0.179515,-0.239354,-0.239354
58,-0.209434,-0.269273,-0.269273
59,-0.209434,-0.239354,-0.269273
60,-0.209434,-0.269273,-0.239354
61,-0.209434,-0.269273,-0.239354
62,-0.209434,-0.269273,-0.269273
63,-0.209434,-0.269273,-0.239354
64,-0.209434,-0.269273,-0.239354
65,-0.209434,-0.239354,-0.239354
66,-0.209434,-0.239354,-0.239354
67,-0.209434,-0.239354,-0.239354
68,-0.209434,-0.239354,-0.239354
69,-0.239354,-0.269273,-0.269273
70,-0.239354,-0.299192,-0.299192
71,-0.239354,-0.299192,-0.269273
72,-0.239354,-0.269273,-0.269273
73,-0.209434,-0.239354,-0.239354
74,-0.179515,-0.239354,-0.209434
75,-0.179515,-0.209434,-0.209434
76,-0.179515,-0.209434,-0.209434
77,-0.179515,-0.209434,-0.209434
78,-0.179515,-0.209434,-0.209434
79,-0.179515,-0.209434,-0.209434
80,-0.179515,-0.239354,-0.209434
81,-0.179515,-0.239354,-0.239354
82,-0.209434,-0.239354,-0.239354
83,-0.209434,-0.239354,-0.239354
84,-0.179515,-0.239354,-0.209434
85,-0.149596,-0.179515,-0.179515
86,-0.149596,-0.179515,-0.179515
87,-0.149596,-0.209434,-0.179515
88,-0.179515,-0.209434,-0.209434
89,-0.179515,-0.239354,-0.239354
90,-0.209434,-0.269273,-0.239354
91,-0.209434,-0.269273,-0.269273
92,-0.209434,-0.269273,-0.269273
93,-0.209434,-0.269273,-0.239354
94,-0.209434,-0.269273,-0.269273
95,-0.209434,-0.269273,-0.269273
96,-0.209434,-0.269273,-0.239354
97,-0.209434,-0.239354,-0.239354
98,-0.209434,-0.239354,-0.239354
99,-0.209434,-0.239354,-0.239354
100,-0.209434,-0.239354,-0.239354
