sample_index,acc_ch1,acc_ch2,acc_ch3
1,-0.209434,-0.269273,-0.269273
2,-0.239354,-0.269273,-0.269273
3,-0.239354,-0.269273,-0.269273
4,-0.209434,-0.269273,-0.269273
5,-0.209434,-0.239354,-0.239354
6,-0.179515,-0.239354,-0.209434
7,-0.179515,-0.239354,-0.209434
8,-0.179515,-0.239354,-0.209434
9,-0.179515,-0.209434,-0.209434
10,-0.179515,-0.209434,-0.209434
11,-0.179515,-0.209434,-0.209434
12,-0.179515,-0.239354,-0.239354
13,-0.179515,-0.239354,-0.239354
14,-0.179515,-0.239354,-0.239354
15,-0.179515,-0.239354,-0.239354
16,-0.209434,-0.239354,-0.239354
17,-0.179515,-0.209434,-0.209434
18,-0.149596,-0.209434,-0.179515
19,-0.179515,-0.209434,-0.209434
20,-0.179515,-0.209434,-0.209434
21,-0.179515,-0.239354,-0.239354
22,-0.209434,-0.269273,-0.239354
23,-0.209434,-0.269273,-0.239354
24,-0.209434,-0.239354,-0.269273
25,-0.209434,-0.239354,-0.239354
26,-0.209434,-0.269273,-0.239354
27,-0.209434,-0.269273,-0.239354
28,-0.209434,-0.239354,-0.239354
29,-0.209434,-0.239354,-0.239354
30,-0.209434,-0.239354,-0.239354
31,-0.209434,-0.239354,-0.239354
32,-0.209434,-0.239354,-0.239354
33,-0.209434,-0.269273,-0.269273
34,-0.239354,-0.269273,-0.269273
35,-0.239354,-0.269273,-0.269273
36,-0.209434,-0.269273,-0.269273
37,-0.209434,-0.239354,-0.239354
38,-0.179515,-0.239354,-0.239354
39,-0.179515,-0.239354,-0.209434
40,-0.179515,-0.209434,-0.209434
41,-0.179515,-0.239354,-0.209434
42,-0.179515,-0.239354,-0.209434
43,-0.179515,-0.239354,-0.209434
44,-0.179515,-0.239354,-0.209434
45,-0.179515,-0.239354,-0.239354
46,-0.179515,-0.239354,-0.239354
47,-0.179515,-0.239354,-0.239354
48,-0.179515,-0.239354,-0.239354
49,-0.179515,-0.209434,-0.209434
50,-0.149596,-0.179515,-0.179515
